source,film_uri,film_key,film_title,film_year,tmdb_id,pred,release_shown,runtime,genres,overview,director,original_language,poster_path,out_of_range,sensitive_poster
popular,,Bitter Christmas (2026),Bitter Christmas,2026.0,1088548.0,3.993510542541328,2026-11-13,111,Drama|Comedy,"Elsa is an advertising director whose mother dies during a long December holiday. She works non-stop and, without realizing, doesn’t give herself time to mourn her mother’s absence. After a crisis, Elsa decides to travel to the island of Lanzarote accompanied by her friend Patricia, who also needs to get away from the city. The story of these characters runs parallel to that of a screenwriter and film director, exploring how life and fiction are inseparably linked, sometimes painfully so.",Pedro Almodóvar,es,/kiPGcHX0YT49nrab76G0bqw3gHW.jpg,,False
popular,,Once Upon a Time in the Middle East (2026),Once Upon a Time in the Middle East,2026.0,1391021.0,3.886667779238165,2026-10-09,140,Drama|War,"Xu Fu travels to the Middle East to work as a chef in a Chinese restaurant to pay off family debts, where he meets floor manager Ma Junsheng. Their Dragon Restaurant rises to fame, attracting crowds with authentic‑tasting Chinese food. But war breaks out, and local conditions take a drastic turn for the worse. No one can remain unaffected. What lies ahead for them? And how will the Dragon Restaurant hold on amid the war?",Wen Muye,zh,/wAuGgXjA7GV8NrKfmUKl2AP8vqG.jpg,,False
popular,,On the Road (2026),On the Road,2026.0,1517123.0,3.884614809394619,2026-10-28,93,Drama|Thriller|Crime,"Veneno, a rebellious young drifter, frequents roadside diners where he sleeps with truck drivers. Urgently needing a ride, he meets Muñeco, a hard-edged driver who keeps to himself. He convinces Muñeco to take him deep into the hyper-masculine world of long-haul trucking across the north of Mexico. As they travel together and an unexpected intimacy builds between them, shadows from Veneno’s past resurface, putting both their lives at risk.",David Pablos,es,/u169hcLX3OsM9eRs4wtIzi0ymGZ.jpg,,False
popular,,Fatherland (2026),Fatherland,2026.0,1437696.0,3.8457506100009984,2026-10-23,82,Drama|History,"In 1949, German writer Thomas Mann and his daughter Erika embark on a road trip across a Germany in ruins, from US-dominated Frankfurt to Soviet-controlled Weimar.",Paweł Pawlikowski,pl,/oNejN1l69nBF8LdQwy5FkAQZT44.jpg,,False
popular,,Sense and Sensibility (2026),Sense and Sensibility,2026.0,1503762.0,3.7790762288878956,2026-10-16,132,Drama|Romance,"A charming, witty, and deeply relatable story of love and sisterhood.",Georgia Oakley,en,/czsyPHosFNbh4PPqXfqWu1aBXnA.jpg,,False
popular,,Ghost in the Cell (2026),Ghost in the Cell,2026.0,1393326.0,3.7590312167118927,2026-10-02,106,Horror|Comedy|Thriller,"In a notorious prison, an invisible force begins killing inmates brutally, compelling enemy gangs and corrupt guards to work together as they try to survive the mounting bloodshed.",Joko Anwar,id,/zxcMdx0w5Zmg8yZuuiS7CJ8vOea.jpg,,False
popular,,Wild Horse Nine (2026),Wild Horse Nine,2026.0,891621.0,3.7418908959552764,2026-11-06,118,Comedy|Crime|Thriller,"Shortly before the 1973 Chilean coup, CIA agents Chris and Lee are dispatched from Santiago to Easter Island by their bureau chief, MJ. Amongst the Island's iconic statues, and as the longtime partners wrestle with their dark pasts and present conspiracies, Chris's newfound bond with a pair of rebellious students threatens to send everyone’s trip to this remote paradise sideways.",Martin McDonagh,en,/dNJFRtVg3xLQ7dbNIQ55cmmIniD.jpg,,False
popular,,Godzilla Minus Zero (2026),Godzilla Minus Zero,2026.0,1381071.0,3.7302201175296483,2026-11-06,135,Science Fiction|Horror|Action,"War reduced Japan to zero, and Godzilla plunged it into minus. Two years have passed since then, and the country has faced agonizing struggles to achieve recovery and finally reclaim its daily life. Just as humanity managed to cling to a hard-won peace, a new threat strikes, crushing hope in an instant.",Takashi Yamazaki,ja,/hSmIJluOJmTWvJs4d7kHRxjc8s8.jpg,,False
popular,,Forgotten Island (2026),Forgotten Island,2026.0,1465063.0,3.694634795814414,2026-09-25,109,Animation|Adventure|Fantasy|Comedy|Family,"While celebrating their last night together, high school graduates and best friends Jo and Raissa stumble upon a mysterious portal that transports them to the fantastical island of Nakali. When they discover that the memories of their entire friendship are the price for returning home, Jo and Raissa must race to find a way to leave the island before they forget each other forever.",Januel Mercado,en,/myd1K3gefdNAWFsGNRDdMeiK9Qg.jpg,,False
popular,,Wildwood (2026),Wildwood,2026.0,791523.0,3.690814167433472,2026-10-23,132,Animation|Adventure|Fantasy,"Prue and her classmate Curtis are drawn into a magical forest filled with enchanted creatures, loyal allies, and formidable adversaries as they embark on a desperate quest to rescue Prue’s abducted baby brother from a murder of crows led by a mysterious woman named Alexandra.",Travis Knight,en,/snFM00mpNAfUzUtkdEW0uDEvXA0.jpg,,False
popular,,Verity (2026),Verity,2026.0,1283515.0,3.684649442619659,2026-10-02,117,Mystery|Thriller,"Lowen Ashleigh is hired by Jeremy Crawford to ghostwrite novels for his bestselling author wife Verity, who is unable to finish following an accident. Lowen gradually uncovers Verity's disturbing truths while residing at the Crawfords' home to work.",Michael Showalter,en,/97y0RdzRIeZ2j6se98hRQpxz3eR.jpg,,False
popular,,Other Mommy (2026),Other Mommy,2026.0,1400837.0,3.6634817369917276,2026-10-09,93,Horror,"A young girl, Bela, forms a relationship with a sinister entity in her home who looks uncannily like her own mother.",Rob Savage,en,/fGRNCssTRrhYZxNzykGGCoMsAVq.jpg,,False
popular,,Avengers: Doomsday (2026),Avengers: Doomsday,2026.0,1003596.0,3.6592734864332632,2026-12-18,165,Science Fiction|Action|Adventure,Beloved heroes from three distinct universes are set on a deadly collision course and face an existential threat unlike anything they've ever encountered.,Joe Russo,en,/jzPwsojjFStf5lR5Nm07w2hH56G.jpg,,False
popular,,Beware Boiúna (2026),Beware Boiúna,2026.0,1244523.0,3.6460625687983823,2026-10-02,104,Adventure|Horror|Thriller,"Deep in the Amazon, a medical mission spirals into a fight for survival when Boiúna, a colossal ancient predator, awakens to reclaim her domain. In the jungle where nature holds absolute power, she decides who lives and who dies.",Mike P. Nelson,en,/tENVMxKvOkslv8kagVNdIEQ13RT.jpg,,False
popular,,Whalefall (2026),Whalefall,2026.0,1255833.0,3.641004024107373,2026-10-16,98,Thriller,"Following the death of his father, Jay Gardiner goes diving off the central Coast of California in search of his remains, but is swallowed by a massive sperm whale. While trapped inside its belly with only one hour of oxygen left, Jay comes to realize that the hard-earned lessons his father imparted may be the key to his escape.",Brian Duffield,en,/vjTYUTgh9nO88i6HZ4YPRhiFL05.jpg,,False
popular,,Clayface (2026),Clayface,2026.0,1400940.0,3.6337627976396165,2026-10-23,108,Horror|Thriller|Science Fiction,"Matt Hagen's meteoric rise from Gotham street kid to Hollywood leading man is tragically cut short when a local crime boss's actions leave him horribly disfigured. Abandoned by his team and with nothing left, Matt seeks out a cutting edge treatment that miraculously returns him to his former self… but also unexpectedly affects his grip on reality, spiraling him down a destructive path of all-consuming revenge.",James Watkins,en,/5jCpQnWPikggmQZoDp1eAi6BI6w.jpg,,False
popular,,Ray Gunn (2026),Ray Gunn,2026.0,940009.0,3.6306515840060243,2026-12-04,120,Animation|Science Fiction|Crime|Mystery,"In Metropia, a gigantic city in an alternate future as seen from 1939, private eye Raymond Gunn and his alien companion Eyera are making a living on the edge of society, delving into secrets that some people would rather keep hidden away. After accepting a sleazy spy job related to pop-star Venus Nova, Gunn finds himself drawn into a murder mystery unlike any case he’s taken.",Brad Bird,en,/rpP29aOKpHy1FhX8OZQdUICEs2j.jpg,,False
popular,,Heart of the Beast (2026),Heart of the Beast,2026.0,1263337.0,3.623422711287216,2026-09-25,101,Adventure|Thriller,"After a harrowing plane crash, Special Forces officer James Belmont and his combat dog, Odin, find themselves stranded deep in the Alaskan wilderness. Together, they are forced into a brutal fight for survival against the elements.",David Ayer,en,/1ApfSA8JTqeha3GTFEY8syV4auq.jpg,,False
popular,,The Mongoose (2026),The Mongoose,2026.0,1294189.0,3.6138558169531096,2026-10-30,99,Action|Thriller,"A falsely accused war hero with nothing to lose leads police on an epic televised cross-country car chase, helped by members of his former Special Forces Army battalion and closely monitored by a fascinated public rooting for his safe getaway.",Mark Vanselow,en,/eSS5mvSG84UUuvtbHel5Yu3Wik4.jpg,,False
popular,,Street Fighter (2026),Street Fighter,2026.0,1153576.0,3.5852366245165697,2026-10-16,119,Action|Fantasy,"In 1993, estranged Street Fighters Ryu and Ken Masters are thrown back into combat when the mysterious Chun-Li recruits them for the next World Warrior Tournament: a brutal clash of fists, fate, and fury. But behind this battle royale lies a deadly conspiracy that forces them to face off against each other and the demons of their past. And if they don't, it's GAME OVER!",Kitao Sakurai,en,/utKzCSCz2HtXwcDGfWLj2IHhSob.jpg,,False
