film_uri,rank,neighbour_key,neighbour_title,neighbour_year,neighbour_rating,neighbour_tmdb_id,neighbour_poster,share,neighbour_sensitive
https://boxd.it/sxVa,1,The Last Sunrise (2026),The Last Sunrise,2026,2.5,1516698.0,/3PWJqDfygN0YNNjWsDUOXclCp3h.jpg,0.036756475,False
https://boxd.it/sxVa,2,Nobody 2 (2025),Nobody 2,2025,2.0,1007734.0,/svXVRoRSu6zzFtCzkRsjZS7Lqpd.jpg,0.020106003,False
https://boxd.it/sxVa,3,The Drama (2026),The Drama,2026,3.5,1325734.0,/rnIOUhzwJDfgQakx8EjoNyItKgs.jpg,0.019367678,False
https://boxd.it/sxVa,4,Send Help (2026),Send Help,2026,3.0,1198994.0,/zbJWVHOtj3ljBzWgL1P8pxP03Up.jpg,0.017664189,False
https://boxd.it/sxVa,5,Uncharted (2022),Uncharted,2022,3.5,335787.0,/rJHC1RUORuUhtfNb4Npclx0xnOf.jpg,0.016936556,False
https://boxd.it/4E5i,1,Obsession (2025),Obsession,2025,4.0,1339713.0,/bRwnj8WEKBCvmfeUNOukJPwB43K.jpg,0.0348418,False
https://boxd.it/4E5i,2,Dune: Part Two (2024),Dune: Part Two,2024,4.5,693134.0,/6izwz7rsy95ARzTR3poZ8H6c5pp.jpg,0.03327686,False
https://boxd.it/4E5i,3,Mortal Kombat II (2026),Mortal Kombat II,2026,2.0,931285.0,/hwRdDFIhaEmpRgoki805YvyyjZf.jpg,0.030117432,False
https://boxd.it/4E5i,4,Spider-Man: Brand New Day (2026),Spider-Man: Brand New Day,2026,3.5,969681.0,/bjiS5ipwxb9JFy3XRRN4OAilSeX.jpg,0.029843623,False
https://boxd.it/4E5i,5,Mayday (2026),Mayday,2026,2.0,1137844.0,/hVXjX1jLZ1ljFSNGXpjJfbTUOa7.jpg,0.02967046,False
https://boxd.it/bDG2,1,Rye Lane (2023),Rye Lane,2023,4.5,1049638.0,/int5eEKNc8g0V5i3XYaPeaC6paD.jpg,0.030440338,False
https://boxd.it/bDG2,2,The Rocky Horror Picture Show (1975),The Rocky Horror Picture Show,1975,1.5,36685.0,/3pyE6ZqDbuJi7zrNzzQzcKTWdmN.jpg,0.02895536,False
